,生育場所,,,,,"花期
（月）",特記,学名,標準和名,記載分布,
,沈水,浮葉,浮標,抽水,湿地・岸辺,,,,,,
1,,,,,○,2〜3,,Equisetum arvense L．,スギナ,（全）,
2,,,,,○,7〜8,,E. hyenmale L．,トクサ,（高）,
3,,,,,○,春〜秋,絶滅危惧泓ﾞ,E. palustre L.,イヌスギナ,,
4,,,,,○,4,,O. lancea Thunb．,ヤシャゼンマイ,（匹）,
5,○,○,,○,○,秋,,Ceratopteris thalictroides var. vulgaris,ヒメミズワラビ,(高)　,
6,,,,,○,,"基準産地
島根ER+EN
環境省IB類(EN)","A. eremicola Oka of Kurata, sp. nov. 　",ヘイケヌワラビ,(椛),岡が柿木村鈴ノ大谷山でみつけた.タニイヌワラビによく似た種である．したがって、鈴ノ大谷山がtypelocalityである．暖地性要素．
7,,,,,○,,新種？,,カキノキイヌワラビ,,
8,,○,,○,○,夏〜秋,"記載地では絶滅
環境省類",Marsilea quadrifolia L.  ,デンジソウ,(益)（吉),神代により、益田市沖田で採集された.
9,,○,,,,晩秋〜冬季紅葉,"宮本（1963）が記載。渡辺は2006以降毎年確認しているが外来種の可能性もある。
環境省類「VU」",Azolla japonica Fr. et Sav.  ,オオアカウキクサ,(高)(益),
,1,3,0,2,8,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
