,生育場所,,,,,"花期
（月）",特記,学名,標準和名,記載分布,,,,,,,,
,沈水,浮葉,浮標,抽水,湿地・岸辺,,,,,,葉の付き方,葉の形,鋸歯,花の付き方,花弁数,色,食・毒,
1,,,,,○,6〜8,,SauTiiTus chinensis (Lour.) Baill.,ハンゲショウ,(海),互生,長卵形、先端がとがる,全縁,穂状,無し,白,薬,
2,,,,,○,5〜7,,Houttuynia cordata Thunb,.ドクダミ,(全),互生,ハート形・心形,全縁,穂状,"無し
4枚の白いのは萼",淡緑黄,食・薬,
3,,,,,○,4〜5,,Salix chaenomeloides Kimura　,アカメヤナギ(マルバヤナギ）,(高)(津)(匹)(吉),互生,楕円形,細鋸歯,尾状・円錐形・穂,無し,白・黄緑,不明,
4,,,,,○,4〜5,,Salix subfragilis Anders.  ,タチヤナギ,(吉)(高),互生,長楕円形,細鋸歯,円錐形・穂状・穂,無し,黄緑,不明,
5,,,,,○,3〜4,,Salix sachalinensis Fr. Schm. ,オノエヤナギ,(吉),互生,披針形・狭披針形,波状の細鋸歯,円柱状・尾状・穂,無し,銀濃紅・橙黄,不明,
6,,,,,○,2〜3,,Salix gilgiana Seemen　,カワヤナギ,(高)(津),互生,線形,浅い波状の鋸歯,円柱状・尾状・穂,無し,銀灰黒・黄,不明,
7,,,,,○,2〜3,,Salix graciiistyla Miq. ,ネコヤナギ,(高)(益)(匹)(吉),互生,長楕円形、先端尖る,基部を除き細鋸歯,長楕円形・尾状・穂,無し,銀灰,不明,
8,,,,,○,4〜6,,Pterocarya rhoifolia Sieb. et Zucc.　,サワグルミ,(匹)(椛)(横),互生,奇数羽状複葉。小葉は対生鋭尖頭長楕円形,細鋸歯,尾状・穂,無し,"雌花は紅、
雄花は淡緑",不明,
9,,,,,○,5〜6,,Juglans ailanthifolia Carr.  ,オニグルミ,(津),互生,奇数羽状複葉。小葉は対生卵状長楕円形,細鋸歯,穂状・尾状・穂,無し,"雌花は紅、
雄花は淡緑",食,
10,,,,,○,3〜4,,Corylus heterophylla Fischer. var. thunbergii Blume,ハシバミ,(匹),互生,広倒卵形。,重鋸歯,尾状・穂,無し,暗赤・暗黄褐,食,
11,,,,,○,12〜2,,Alnusfirma japonica (Thunb.) Steud.  ,ハンノキ,(津),互生,卵状長楕円形,低い不整の鋸歯,尾状・松かさ状・穂,,紅・緑,不明,
12,,,,,○,7〜10,,Pilea hamaoi Makino　,ミズ,(匹)(津),対生,菱状卵形,葉先半分に粗い鋸歯,散形（花柄なし）,2、3,淡緑・緑白,不明,
13,,,,,○,7〜10,,Pilea mongolica Weddell  ,アオミズ,(津),対生,卵形,葉のほぼ全周に粗い鋸歯,雄花頭状・雌花散形,2〜4,淡紅・緑,不明,
14,,,,,○,4〜6,,Elatostema umbellatum Blume var. majus Maxim.,ウワバミソウ,(高)(益)(横)(椛)(吉)(匹),互生,斜卵形または斜長楕円形。先は長く尾状,鋭鋸歯,雄花散形・雌花頭状,3〜4,白・緑,食,
