,生育場所,,,,,"花期
（月）",特記,学名,標準和名,記載分布,検索,,,,,,,
,沈水,浮葉,浮標,抽水,湿地・岸辺,,,,,,葉の付き方,葉の形,鋸歯,花の付き方,花弁数,色,食・毒,
1,,,,○,○,6〜8,,Typha angustata Bory et Chauberd.  ,ヒメガマ,(高),互生,線形。幅5〜15mm,平滑,円柱状・穂,無し,茶,食・薬,
2,,,,○,,6〜9,準絶滅危惧種（環）,Sparganium stoloniferum Hamilt.  ,ミクリ,(高),互生,根元は三角形、上部は不明瞭。長さ50〜150cm、幅7〜20mm。,細鋸歯,球形・頭状花序,無し,白,不明,
3,,○,,,,5〜10,,Potamogeton distinctus A.Benn.  ,ヒルムシロ,(全),互生,沈水葉は長い披針形。浮葉は狭長楕円形〜楕円形,全縁,棒状・穂,無し,薄緑・ピンク,不明,
4,○,○,,,,5〜8,,Potamogeton natans　L.,オヒルムシロ,,互生,"針状線形で長さ12〜30cm、幅0.5〜2.5mm。
浮葉は長楕円形〜広楕円形。長さ5〜12cm、幅2〜5cm。",全縁,棒状・穂,無し,薄緑・白,不明,
5,○,○,,,,6〜9,,P. octandrus Poir. var. miduhikimo (Makino)　Hara,ミズヒキモ,(高)(津),互生,水中葉糸状３脈、浮水葉卵長形尖るあるいは葉楕円長形、葉巾０．５−０．７ｃｍ、,全縁,穂状,無し,黄緑,不明,
6,○,,,,,5〜9,,P. oxyphyllus Miq. ,ヤナギモ,(全),互生,線形葉で、長さ5-16mm、幅2-5mm,全縁,穂状,無し,黄緑・白,不明,
7,○,,,,,5〜10,,P. crispus L.,エビモ,(全),互生,広線形で、長さ3〜10cm、幅3〜9mm,波打つ。鋸歯有り,穂状,無し,赤,不明,
8,○,,,,,7〜9,,Najas marina Linn. ,イバラモ,(全),対生,線形で長さ2〜6cm、幅（0.5〜）1〜2mm（鋸歯高除く）,刺状の鋸歯。鋸歯の大きさは変異大,微小棒状,無（雌）,緑・淡紫緑,不明,
9,○,,,,,6〜9,準絶滅危惧種（環）,Najas gracillima (A. Br.) Magnus,イトトリゲモ,,5輪生状,線形、長さ1〜2cm、幅約0.2mm,細鋸歯,微小棒状,無（雌）,緑・淡紫緑,不明,
10,○（海中）,,,,,5〜7,,Zostera marina Linn.,アマモ,(海),互生,線形。長さ20-100cm、幅3-5mm,平滑,列状・穂,3,白,食,
11,,,,○,○,7〜9,,Alisma canaliculatum A.Br. er Bouche,へラオモダカ,(匹)(津)（吉),根生,ヘラ状。葉のサイズは変異が大きく、長さ8-55cm,全縁,3弁,3,白,食・薬,
12,,,,○,○,7〜9,,Sagittaria pygmaea Miq.  ,ウリカワ,(全),根生,線形、ときに細い匙形。長さ4〜18cm、幅3〜10mmでやや厚い,全縁,3弁,3,白,食,
13,,,,○,○,8〜10,,Sagittaria trifolia Linn.  ,オモダカ,(高)(益)(匹),根生,発生初期は線形、生長が進むと矢尻形。長さ7〜30cm,全縁,3弁,3,白,食,
14,,,,○,○,7〜10,準絶滅危惧種（環）,Sagittaria aginashi Makino　,アギナシ,(高)(益),根生,矢じり形、頂裂片は披針形〜線形、長さ7.5〜17.5cm,全縁,3弁,3,白,食,
15,○,,,,,8〜10,,Vallisneria asiatica Miki  ,セキショウモ,(高)(益),根生,線形（リボン状）、扁平で長さ10〜80cm、幅3〜9mm、先端は鋭頭または鈍頭,平滑,3弁,3,黄緑・白,不明,
16,○,,,,,8〜10,オオカナダモに似るが花径は3（雄花）〜5（雌花）と小さい。雄花は水面を流れて雌花にたどりつき、受粉する。,"Hydrilla verticillata (Linn, fil.) Casp.  ",クロモ,(高) (益),各節に3〜8葉を輪生,線形で、長さ8〜20mm、幅1〜3mm、鋸歯があり、ときに著しく反り返る。,"鋸歯明瞭
130μ前後",3弁,3,透明・紫,不明,
17,○,,,,,8〜10,絶滅危惧類,Ottelia japonica Miq.  ,ミズオオバコ,(高),根生,オオバコに似た披針形〜広卵形で柄のある葉,全縁,3弁,3,白,不明,
18,,○,,,,8〜10,,Hydrocharis asiatica Miq.  ,トチカガミ,(高)(益),水中茎各節から数枚束出,円形、直径2〜7cm、基部は心形または深く切れ込む,全縁,3弁,3,白,不明,
19,○,,,,,5〜10,重点対策外来,Egeria densa Planch,オオカナダモ,(全),各節に3〜6葉を輪生,線形で、長さ15〜40mm、幅2〜4.5mm,不明瞭な細鋸歯,3弁,3,白,不明,
20,,,,○,○,6〜8,,Zizania latifolia Turcz.  ,マコモ,(高),互生,線形。幅20〜30mm、長さは1mに達する,平滑、ややざらつく,まばらな穂,無し,緑・淡紫,食,
21,,,,○,○,8〜9,,Phragmites japonica Steud.  ,ツルヨシ,(全),互生,長さ30〜40cm、幅15〜18mm、線状披針形,平滑,円錐花序・穂,無し,赤紫,食,
22,,,,○,○,6〜8,,Phragmites communis Trin.  ,ヨシ,(高)(益),互生,長さ20〜50cm、幅2〜4cm、広線形。水平開出、先端垂れ下る,平滑、ときにざらつく,円錐花序・穂,無し,暗紫,食,
23,,,,○,○,6〜8,,Phragmites karka (Retz.) Trin.  ,セイコノヨシ,(高),互生,長さ40〜70B、幅2〜4B。斜上開出し、先端垂れ下がらない,平滑,円錐花序・穂,無し,紫・灰褐,不明,
24,,,,,○砂浜,6〜8,,Zoisia macrostachya Franch. et Savat,オニシバ,(海),互生,短い線形〜狭披針形。長さ3〜5B、幅2〜4@、硬く、先が鋭く尖る,平滑,紡錘状・穂,無し,赤紫,不明,
